"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andhra Pradesh","SPSR Nellore","2023-02-18","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-02-19","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-02-20","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-02-21","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-02-22","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-02-23","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-02-24","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-02-01","2023","02","0.0272259765","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-02-02","2023","02","0.0045474804","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-02-03","2023","02","1.533E-7","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-02-04","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-02-05","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-02-06","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-02-07","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-02-08","2023","02","0.0090425529","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-02-09","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-02-10","2023","02","0.0092749097","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-02-11","2023","02","0.0203893109","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-02-12","2023","02","0.0626174717","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-02-13","2023","02","0.0002807387","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-02-14","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-02-15","2023","02","0.011617841","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2023-02-16","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-17","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-18","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-19","2023","02","0.2629168296","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-20","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-21","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-22","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-23","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-24","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-01","2023","02","0.0031033418","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-02","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-03","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-04","2023","02","1.0171E-6","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-05","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-06","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-07","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-08","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-09","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-10","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-11","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-12","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-13","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-14","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-15","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2023-02-16","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Visakhapatanam","2023-02-17","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Visakhapatanam","2023-02-18","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Visakhapatanam","2023-02-19","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Visakhapatanam","2023-02-20","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Visakhapatanam","2023-02-21","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Visakhapatanam","2023-02-22","2023","02","NA","NRSC VIC MODEL"
